sample_id,fg_area_ratio,fg_area_ratio_valid,empty_space_ratio,empty_space_ratio_valid,bbox_area_ratio,bbox_area_ratio_valid,centroid_x_norm,centroid_x_norm_valid,centroid_y_norm,centroid_y_norm_valid,top_mass_ratio,top_mass_ratio_valid,bottom_mass_ratio,bottom_mass_ratio_valid,stroke_darkness_mean,stroke_darkness_mean_valid,stroke_darkness_std,stroke_darkness_std_valid,component_count_norm,component_count_norm_valid,skeleton_break_count_norm,skeleton_break_count_norm_valid,shading_ratio,shading_ratio_valid,unique_hue_count,unique_hue_count_valid,warm_ratio,warm_ratio_valid,dark_color_ratio,dark_color_ratio_valid,sharp_angle_ratio,sharp_angle_ratio_valid,dominant_orientation_abs,dominant_orientation_abs_valid,figure_integrity_proxy,figure_integrity_proxy_valid
106-3E-754-M-S,0.11803457140922546,1,0.8819653987884521,1,0.9719008803367615,1,0.46362876892089844,1,0.43196821212768555,1,0.5561548471450806,1,0.44384512305259705,1,0.4304277002811432,1,0.1904120147228241,1,12.139589309692383,1,56.59746170043945,1,0.05366366356611252,1,10.0,1,0.427014023065567,1,0.0010359116131439805,1,0.19102416932582855,1,0.10775960981845856,1,0.23606914281845093,1
106-3G-763-M-S,0.2207624763250351,1,0.7792375087738037,1,1.0,1,0.4898078739643097,1,0.45835134387016296,1,0.5417796969413757,1,0.45822030305862427,1,0.4259898066520691,1,0.23103182017803192,1,68.95286560058594,1,131.37733459472656,1,0.36935746669769287,1,8.0,1,0.20773836970329285,1,0.03706621378660202,1,0.18254879117012024,1,0.009853788651525974,1,0.4415249526500702,1
106-4B-270-F-S,0.14049550890922546,1,0.8595044612884521,1,0.984375,1,0.6499484777450562,1,0.5619028806686401,1,0.4480798840522766,1,0.5519201159477234,1,0.5441519618034363,1,0.18230032920837402,1,22.336843490600586,1,68.359375,1,0.20852534472942352,1,12.0,1,0.7690422534942627,1,0.004780300427228212,1,0.1517094075679779,1,0.015443161129951477,1,0.2809910178184509,1
106-4F-434-F-S,0.07067938894033432,1,0.9293206334114075,1,0.917073130607605,1,0.48168012499809265,1,0.5255684852600098,1,0.4826717674732208,1,0.5173282623291016,1,0.4559530019760132,1,0.24501138925552368,1,8.848411560058594,1,29.188966751098633,1,0.23183205723762512,1,8.0,1,0.5525934100151062,1,0.012134193442761898,1,0.09491978585720062,1,0.08835433423519135,1,0.19893819093704224,1
106-4F-78-F-S,0.22908753156661987,1,0.7709124684333801,1,1.0,1,0.5106341242790222,1,0.47938430309295654,1,0.5149316787719727,1,0.48506829142570496,1,0.3131421208381653,1,0.14400431513786316,1,75.85894012451172,1,148.2648468017578,1,0.01274140365421772,1,4.0,1,0.07963233441114426,1,0.0004909789422526956,1,0.12772727012634277,1,0.015854988247156143,1,0.45817506313323975,1
106-4F-901-F-S,0.05064097046852112,1,0.9493590593338013,1,0.49637970328330994,1,0.38745787739753723,1,0.6557338833808899,1,0.11602386832237244,1,0.88397616147995,1,0.4726204574108124,1,0.19406758248806,1,6.258632659912109,1,23.90150260925293,1,0.2192627340555191,1,7.0,1,0.8755801916122437,1,0.0009603764046914876,1,0.19953596591949463,1,0.011892393231391907,1,0.28835031390190125,1
106-4G-1454-F-S,0.05503280460834503,1,0.9449672102928162,1,1.0,1,0.46196556091308594,1,0.6350511908531189,1,0.3346078395843506,1,0.6653921604156494,1,0.43717992305755615,1,0.25926926732063293,1,6.960031032562256,1,26.32942008972168,1,0.25480392575263977,1,13.0,1,0.3025757968425751,1,0.009285436943173409,1,0.09591474384069443,1,0.5231343507766724,1,0.26206403970718384,1
107-2D-1002-M-S,0.05712081491947174,1,0.9428791999816895,1,1.0,1,0.48084694147109985,1,0.6857959628105164,1,0.31056955456733704,1,0.6894304156303406,1,0.5273374915122986,1,0.26442787051200867,1,8.308874130249023,1,25.412206649780273,1,0.4516860246658325,1,7.0,1,0.5796935558319092,1,3.237223791074939e-05,1,0.15353535115718842,1,0.019429733976721764,1,0.19879791140556335,1
107-2F-113-F-S,0.07064701616764069,1,0.9293529987335205,1,0.8363259434700012,1,0.44965535402297974,1,0.5478640794754028,1,0.3754391372203827,1,0.6245608925819397,1,0.28873422741889954,1,0.196919247508049,1,9.819579124450684,1,26.761049270629883,1,0.05735451355576515,1,8.0,1,0.5142583847045898,1,0.0013380524469539523,1,0.1306818127632141,1,0.07492243498563766,1,0.1503150910139084,1
107-2F-502-F-S,0.12774084508419037,1,0.8722591400146484,1,0.9649624228477478,1,0.5189329981803894,1,0.5573145151138306,1,0.3903953433036804,1,0.6096046566963196,1,0.27657589316368103,1,0.20392870903015137,1,12.840987205505371,1,44.835548400878906,1,0.07019767165184021,1,11.0,1,0.6781051158905029,1,0.006096771452575922,1,0.12960894405841827,1,0.006142479367554188,1,0.25548169016838074,1
